Song,Artist,Compound,Negitive,Neutral,Positive
Lay All Your Love On Me,ABBA,0.9958,0.095,0.614,0.291
Like An Angel Passing Through My Room,ABBA,0.7391,0.12,0.718,0.162
Love Has It's Ways,ABBA,0.9931,0.011,0.788,0.2
Love Isn't Easy,ABBA,0.9997,0.067,0.487,0.446
Lovelight,ABBA,0.9882,0.059,0.788,0.154
Lovers,ABBA,0.9977,0.023,0.66,0.317
Mamma Mia,ABBA,-0.9511,0.148,0.802,0.05
Man In The Middle,ABBA,-0.1202,0.074,0.848,0.079
Me And Bobby And Bobby's Brother,ABBA,0.9987,0.009,0.697,0.294
Me And I,ABBA,0.8496,0.127,0.735,0.138
Merry-Go-Round,ABBA,0.9989,0.072,0.556,0.372
Midnight Special,ABBA,0.9729,0.055,0.727,0.219
Money Money Money,ABBA,0.997,0.05,0.665,0.284
Move On,ABBA,0.987,0.02,0.888,0.092
"My Love, My Life",ABBA,0.998,0.042,0.659,0.299
My Mama Said,ABBA,-0.0895,0.062,0.839,0.099
"Nina, Pretty Ballerina",ABBA,0.9979,0.028,0.711,0.261
On And On And On,ABBA,0.3568,0.087,0.805,0.108
"One Man, One Woman",ABBA,0.9956,0.119,0.611,0.27
One Of Us,ABBA,-0.6661,0.146,0.706,0.148
Our Last Summer,ABBA,0.9916,0.072,0.721,0.207
People Need Love,ABBA,0.9988,0.011,0.685,0.303
Pick A Bale Of Cotton,ABBA,0.0,0.0,1.0,0.0
Put On Your White Sombrero,ABBA,0.9712,0.034,0.811,0.154
Reina Danzante,ABBA,0.836,0.025,0.908,0.067
Rikky Rock'n'Roller,ABBA,0.9886,0.027,0.731,0.243
Ring Ring,ABBA,-0.8523,0.128,0.788,0.084
Rock Me,ABBA,0.9966,0.013,0.746,0.241
Rock 'n Roll Band,ABBA,0.9472,0.065,0.792,0.143
Rubber Ball Man,ABBA,0.9481,0.041,0.77,0.189
S. O. S.,ABBA,0.9961,0.068,0.689,0.243
Should I Laugh Or Cry,ABBA,-0.3036,0.157,0.699,0.144
Sitting In The Palmtree,ABBA,0.9876,0.065,0.77,0.164
Slipping Through My Fingers,ABBA,0.9863,0.037,0.785,0.178
So Long,ABBA,-0.827,0.056,0.931,0.013
Soldiers,ABBA,0.9335,0.033,0.882,0.085
SOS,ABBA,-0.9791,0.194,0.783,0.023
Summer Night City,ABBA,0.9919,0.016,0.827,0.157
Suzy-Hang-Around,ABBA,0.9929,0.039,0.754,0.208
Take A Chance,ABBA,0.9491,0.027,0.804,0.17
Take A Chance On Me,ABBA,0.9988,0.052,0.699,0.249
Thank You For The Music,ABBA,0.999,0.009,0.653,0.338
That's Me,ABBA,0.9739,0.075,0.737,0.188
The Day Before You Came,ABBA,0.5926,0.033,0.911,0.057
The King Has Lost His Crown,ABBA,-0.9842,0.268,0.639,0.093
The Name Of The Game,ABBA,0.9943,0.036,0.82,0.143
The Piper,ABBA,0.6124,0.071,0.842,0.087
The Visitors,ABBA,-0.9957,0.207,0.701,0.092
The Way Old Friends Do,ABBA,0.901,0.146,0.633,0.221
The Winner Takes It All,ABBA,0.9746,0.148,0.642,0.209
Tiger,ABBA,-0.828,0.105,0.811,0.083
Tropical Loveland,ABBA,0.9949,0.0,0.718,0.282
Two For The Price Of One,ABBA,0.9904,0.03,0.828,0.142
Under Attack,ABBA,-0.2293,0.17,0.657,0.173
Voulez Vous,ABBA,0.9656,0.047,0.846,0.107
Watch Out,ABBA,0.9836,0.103,0.669,0.228
Waterloo,ABBA,0.9689,0.177,0.571,0.252
We Wish You A Merry Christmas,ABBA,0.9979,0.0,0.582,0.418
What About Livingstone,ABBA,0.921,0.063,0.839,0.097
When All Is Said And Done,ABBA,0.9776,0.11,0.696,0.195
When I Kissed The Teacher,ABBA,0.9992,0.032,0.562,0.406
Why Did It Have To Be Me?,ABBA,0.9815,0.117,0.67,0.213
You Owe Me One,ABBA,0.9869,0.045,0.79,0.166
"Always Have, Always Will",Ace Of Base,0.9779,0.018,0.881,0.101
Cecilia,Ace Of Base,0.9194,0.059,0.843,0.099
Don't Stop,Ace Of Base,0.9952,0.057,0.709,0.234
Edge Of Heaven,Ace Of Base,0.9627,0.058,0.768,0.174
Fashion Party,Ace Of Base,0.8516,0.126,0.673,0.201
Happy Nation,Ace Of Base,0.9833,0.039,0.716,0.244
Hey Darling,Ace Of Base,0.9943,0.044,0.769,0.188
Life Is A Flower,Ace Of Base,0.9828,0.056,0.708,0.236
"Mercy, Mercy",Ace Of Base,0.9947,0.074,0.629,0.297
Never Gonna Say I'm Sorry,Ace Of Base,0.9722,0.082,0.714,0.205
Perfect World,Ace Of Base,0.9885,0.039,0.736,0.225
Who Am I,Ace Of Base,0.9815,0.053,0.764,0.183
Camp Granada,Adam Sandler,0.9775,0.117,0.683,0.2
Creepin' On The Mayor,Adam Sandler,-0.9961,0.349,0.567,0.084
Love Stinks,Adam Sandler,0.9931,0.184,0.392,0.424
Mr. Bake-O,Adam Sandler,-0.9899,0.246,0.596,0.159
Steve Polychronopolous,Adam Sandler,-0.9912,0.238,0.701,0.06
The Adventures Of The Cow,Adam Sandler,-0.3421,0.043,0.912,0.045
The Psychotic Legend Of Uncle Donnie,Adam Sandler,0.222,0.12,0.746,0.135
Welcome My Son,Adam Sandler,0.9887,0.032,0.787,0.181
All I Ask,Adele,0.9829,0.096,0.711,0.193
Can't Let Go,Adele,0.8227,0.086,0.805,0.109
Crazy For You,Adele,-0.8585,0.171,0.712,0.117
Daydreamer,Adele,0.967,0.02,0.849,0.132
Hello,Adele,-0.7298,0.083,0.879,0.038
I Miss You,Adele,-0.9657,0.128,0.807,0.066
Melt My Heart To Stone,Adele,0.9934,0.066,0.715,0.218
Need You Know,Adele,0.3693,0.069,0.84,0.091
Now And Then,Adele,-0.9761,0.152,0.806,0.042
Someone Like You,Adele,0.9647,0.173,0.61,0.217
Think That I Get Told The Court,Adele,0.9979,0.031,0.746,0.223
You'll Never See Me Again,Adele,-0.1205,0.116,0.781,0.102
All Your Love,Aerosmith,0.9897,0.105,0.614,0.281
Bacon Biscuit Blues,Aerosmith,-0.8555,0.111,0.833,0.056
Blind Man,Aerosmith,0.9851,0.051,0.759,0.19
Draw The Line,Aerosmith,-0.8074,0.109,0.826,0.065
Eat The Rich,Aerosmith,0.9987,0.053,0.695,0.252
Falling In Love,Aerosmith,0.9327,0.21,0.558,0.232
Fever,Aerosmith,0.979,0.096,0.733,0.171
Get It Up,Aerosmith,0.983,0.029,0.842,0.128
I Ain't Got You,Aerosmith,-0.5423,0.071,0.883,0.047
I'm Ready,Aerosmith,0.9984,0.02,0.56,0.42
Janie's Got A Gun,Aerosmith,-0.9253,0.181,0.672,0.147
Lay It Down,Aerosmith,0.9877,0.051,0.783,0.165
Love In An Elevator,Aerosmith,0.9975,0.022,0.708,0.27
Love Me Like A Bird Dog,Aerosmith,0.9363,0.108,0.736,0.156
Love Me Two Times,Aerosmith,0.9987,0.023,0.556,0.421
Luv Lies,Aerosmith,-0.9938,0.291,0.574,0.135
Magic Touch,Aerosmith,0.9465,0.051,0.831,0.118
Make It,Aerosmith,0.2486,0.072,0.832,0.097
Mama Kin,Aerosmith,0.3585,0.111,0.787,0.101
Melt Down,Aerosmith,-0.9852,0.154,0.776,0.07
Mia,Aerosmith,0.9224,0.078,0.732,0.19
Milkcow Blues,Aerosmith,0.9405,0.1,0.715,0.185
Monkey On My Back,Aerosmith,0.2144,0.036,0.915,0.048
Mother Popcorn,Aerosmith,0.992,0.005,0.841,0.154
Movin' Out,Aerosmith,0.9965,0.014,0.813,0.172
My Fist Your Face,Aerosmith,0.5574,0.064,0.843,0.092
My Girl,Aerosmith,0.9925,0.034,0.773,0.193
Never Loved A Girl,Aerosmith,-0.9503,0.237,0.601,0.162
No More No More,Aerosmith,0.9816,0.121,0.661,0.218
No Surprize,Aerosmith,0.5346,0.174,0.641,0.185
Nobody's Fault,Aerosmith,-0.9827,0.167,0.767,0.066
Oasis In The Night,Aerosmith,0.839,0.056,0.856,0.088
On The Road Again,Aerosmith,0.9926,0.0,0.777,0.223
Once Is Enough,Aerosmith,-0.9312,0.231,0.641,0.129
One Way Street,Aerosmith,-0.3114,0.098,0.81,0.092
Outta Your Head,Aerosmith,0.9791,0.019,0.87,0.111
Pandora's Box,Aerosmith,0.9457,0.065,0.784,0.152
Permanent Vacation,Aerosmith,0.9818,0.041,0.793,0.166
Pink,Aerosmith,0.9733,0.033,0.777,0.191
Prelude To Joanie,Aerosmith,-0.1896,0.037,0.963,0.0
Push Comes To Shove,Aerosmith,0.8673,0.016,0.928,0.057
Rag Doll,Aerosmith,0.9934,0.054,0.772,0.174
Rats In The Cellar,Aerosmith,-0.7298,0.173,0.716,0.111
Rattlesnake Shake,Aerosmith,-0.8555,0.188,0.677,0.135
Red House,Aerosmith,-0.8902,0.146,0.785,0.07
Remember,Aerosmith,0.9621,0.121,0.701,0.178
Road Runner,Aerosmith,0.9793,0.0,0.8,0.2
Rocket 88,Aerosmith,0.883,0.086,0.796,0.118
Rockin' Pneumonia And The Boogie Woogie Flu,Aerosmith,-0.8885,0.113,0.781,0.106
Round And Round,Aerosmith,0.9667,0.012,0.852,0.137
Same Old Song And Dance,Aerosmith,0.9246,0.081,0.8,0.119
Scream In Pain,Aerosmith,-0.9938,0.408,0.561,0.032
Seasons Of Wither,Aerosmith,-0.9912,0.251,0.727,0.022
Sedona Sunrise,Aerosmith,0.5962,0.088,0.792,0.119
"Shame, Shame, Shame",Aerosmith,-0.9994,0.546,0.35,0.105
She's On Fire,Aerosmith,-0.9624,0.232,0.69,0.078
Shut Up And Dance,Aerosmith,0.9595,0.081,0.756,0.163
Sick As A Dog,Aerosmith,0.886,0.13,0.637,0.232
Sight For Sore Eyes,Aerosmith,0.5647,0.141,0.714,0.145
Somebody,Aerosmith,0.9069,0.097,0.707,0.196
Something,Aerosmith,0.9105,0.009,0.899,0.092
Something's Gotta Give,Aerosmith,0.6984,0.147,0.71,0.143
Spaced,Aerosmith,-0.8521,0.11,0.85,0.04
Spiderman Theme,Aerosmith,0.34,0.121,0.733,0.146
St. John,Aerosmith,0.8582,0.083,0.806,0.111
Stop Messin' Around,Aerosmith,0.6561,0.129,0.727,0.145
Sunny Side Of Love,Aerosmith,0.2168,0.156,0.671,0.173
Sunshine,Aerosmith,0.9984,0.05,0.557,0.393
Sweet Emotion,Aerosmith,0.9963,0.085,0.539,0.376
Take It Easy,Aerosmith,0.998,0.032,0.7,0.268
Taste Of India,Aerosmith,0.9986,0.048,0.691,0.261
Temperature,Aerosmith,0.9217,0.021,0.835,0.144
The Farm,Aerosmith,-0.9723,0.134,0.774,0.091
The Grind,Aerosmith,0.9833,0.076,0.727,0.197
The Hand That Feeds,Aerosmith,0.9908,0.073,0.691,0.236
The Hop,Aerosmith,0.2215,0.105,0.795,0.1
The Other Side,Aerosmith,0.9919,0.102,0.727,0.171
The Reason A Dog,Aerosmith,0.9942,0.023,0.773,0.203
Think About It,Aerosmith,0.4767,0.029,0.91,0.061
This Little Light Of Mine,Aerosmith,0.0,0.0,1.0,0.0
Three Mile Smile,Aerosmith,-0.4027,0.097,0.817,0.086
Title Fly Away From Here,Aerosmith,0.9911,0.047,0.763,0.19
Toys In The Attic,Aerosmith,0.0752,0.12,0.76,0.12
Train Kept A Rollin',Aerosmith,0.9937,0.104,0.669,0.227
Trip Hoppin',Aerosmith,0.9731,0.016,0.877,0.108
Uncle Salty,Aerosmith,-0.7469,0.177,0.68,0.143
Under My Skin,Aerosmith,0.9373,0.033,0.876,0.091
Voodoo Medicine Man,Aerosmith,0.9288,0.058,0.783,0.159
Walk On Down,Aerosmith,-0.0795,0.139,0.713,0.148
Walk On Water,Aerosmith,0.9641,0.088,0.74,0.173
A Little Bit More,Air Supply,0.9654,0.028,0.876,0.096
A Place Where We Belong,Air Supply,-0.1779,0.071,0.869,0.06
After All,Air Supply,-0.7144,0.061,0.888,0.051
Ain't It A Shame,Air Supply,0.9839,0.053,0.772,0.175
All By Myself,Air Supply,0.9182,0.051,0.82,0.128
All Out Of Love,Air Supply,0.9265,0.122,0.713,0.166
Alternate Ending,Air Supply,0.999,0.065,0.545,0.39
Always,Air Supply,0.5106,0.037,0.886,0.077
American Hearts,Air Supply,0.9722,0.084,0.746,0.17
Believe In The Supernatural,Air Supply,0.5313,0.034,0.923,0.043
Believer,Air Supply,0.886,0.072,0.81,0.118
Big Cat,Air Supply,0.982,0.029,0.818,0.153
Black And Blue,Air Supply,-0.619,0.103,0.794,0.103
Body Glove,Air Supply,0.9886,0.023,0.863,0.114
Book Of Love,Air Supply,0.9948,0.03,0.784,0.186
Bread And Blood,Air Supply,0.9961,0.11,0.615,0.275
Bring Out The Magic,Air Supply,0.9121,0.016,0.893,0.091
Can't Fight This Feeling,Air Supply,0.9387,0.081,0.775,0.144
Come To Me,Air Supply,0.8481,0.028,0.893,0.079
Come What May,Air Supply,0.9231,0.068,0.802,0.129
Crazy Love,Air Supply,-0.9634,0.167,0.72,0.113
Dancing With The Mountain,Air Supply,0.9831,0.021,0.793,0.185
Daybreak,Air Supply,-0.8385,0.135,0.804,0.061
Do It Again,Air Supply,-0.7106,0.048,0.952,0.0
Do What You Do,Air Supply,0.9597,0.115,0.704,0.181
Does It Matter,Air Supply,0.9762,0.073,0.693,0.234
Don't Be Afraid,Air Supply,0.8384,0.047,0.809,0.143
Don't Tell Me,Air Supply,0.9204,0.104,0.748,0.149
Don't Turn Me Away,Air Supply,0.8747,0.055,0.862,0.083
Don't Walk Away,Air Supply,0.5239,0.025,0.934,0.041
Empty Pages,Air Supply,-0.765,0.077,0.907,0.017
End Of The Line,Air Supply,0.981,0.012,0.867,0.121
Even The Nights Are Better,Air Supply,0.9831,0.089,0.734,0.177
Every Woman In The World,Air Supply,-0.1624,0.085,0.837,0.078
Evidence Of Love,Air Supply,0.8316,0.067,0.837,0.097
Evil Woman,Air Supply,0.838,0.194,0.574,0.233
Faith,Air Supply,0.9849,0.03,0.765,0.205
Hard To Forget Her,Air Supply,-0.6934,0.125,0.856,0.019
Heart Of The Rose,Air Supply,0.9712,0.023,0.864,0.113
Here I Am,Air Supply,0.3526,0.066,0.842,0.092
Hope Springs Eternal,Air Supply,0.9793,0.0,0.805,0.195
I Can't Believe My Eyes,Air Supply,0.9785,0.062,0.764,0.175
I Can't Get Excited,Air Supply,0.9748,0.127,0.717,0.156
I Can't Let Go,Air Supply,0.2581,0.047,0.881,0.072
I Come Alive (Date With An Angel),Air Supply,0.9807,0.051,0.723,0.226
I Don't Believe You,Air Supply,0.4838,0.069,0.865,0.065
I Don't Want To Lose You,Air Supply,0.9383,0.032,0.849,0.119
I Just Like The Feeling,Air Supply,0.9951,0.005,0.716,0.279
I Know You Better Than You Think,Air Supply,0.9215,0.03,0.851,0.119
I Remember Love,Air Supply,0.9876,0.028,0.768,0.204
I Wanna Hold You Tonight,Air Supply,0.946,0.043,0.859,0.097
I Want To Give It All,Air Supply,0.9579,0.013,0.839,0.147
I Want You,Air Supply,0.9851,0.0,0.74,0.26
If You Love Me,Air Supply,0.9987,0.029,0.656,0.315
I'll Be Thinking Of You,Air Supply,0.872,0.01,0.923,0.067
I'll Find You,Air Supply,-0.854,0.108,0.833,0.06
I'll Never Get Enough Of You,Air Supply,0.9371,0.055,0.781,0.165
I'm Alive,Air Supply,0.9961,0.009,0.633,0.357
It's Automatic,Air Supply,0.9231,0.0,0.891,0.109
It's Never Too Late,Air Supply,-0.7579,0.13,0.783,0.087
It's Not Easy,Air Supply,0.9985,0.027,0.575,0.398
It's Not Too Late,Air Supply,0.9955,0.091,0.657,0.252
I've Got Your Love,Air Supply,0.9956,0.029,0.691,0.28
Just Another Woman,Air Supply,-0.8934,0.119,0.815,0.066
Just As I Am,Air Supply,0.9984,0.045,0.618,0.337
Just Between The Lines,Air Supply,0.8074,0.063,0.829,0.108
Late Again,Air Supply,0.8331,0.141,0.704,0.155
Love Comes To Me,Air Supply,0.9756,0.017,0.836,0.147
Love Conquers Time,Air Supply,0.9948,0.052,0.688,0.26
Love Is All,Air Supply,0.9941,0.037,0.681,0.283
Love Is The Arrow,Air Supply,0.9666,0.035,0.762,0.203
Make It Right,Air Supply,0.3182,0.075,0.823,0.102
Making Love Out Of Nothing At All,Air Supply,0.9854,0.044,0.858,0.098
Miracles,Air Supply,0.9248,0.052,0.819,0.129
More Than Natural,Air Supply,0.9896,0.042,0.744,0.214
Mother Said,Air Supply,0.7244,0.07,0.833,0.097
My Best Friend,Air Supply,0.9876,0.032,0.661,0.307
My Hearts With You,Air Supply,0.979,0.091,0.778,0.132
Never Fade Away,Air Supply,-0.962,0.127,0.781,0.091
News From Nowhere,Air Supply,0.9838,0.071,0.762,0.167
Nothing's Gonna Change My Love For You,Air Supply,0.9975,0.021,0.688,0.291
Now And Forever,Air Supply,0.9867,0.041,0.741,0.218
O Come All Ye Faithful,Air Supply,0.997,0.0,0.614,0.386
Old Habits Die Hard,Air Supply,-0.9978,0.38,0.519,0.101
One Step Closer,Air Supply,-0.5994,0.079,0.862,0.059
Only One Forever,Air Supply,-0.0433,0.024,0.953,0.023
Peaches And Cream,Air Supply,0.9557,0.023,0.836,0.141
Ready For You,Air Supply,0.9788,0.046,0.76,0.194
Secret Agent,Air Supply,0.9867,0.0,0.788,0.212
Shadow Of The Sun,Air Supply,0.9962,0.029,0.721,0.249
She Never Heard Me Call,Air Supply,0.8745,0.074,0.808,0.118
Sleigh Ride,Air Supply,0.9956,0.036,0.751,0.213
Someone,Air Supply,0.8345,0.081,0.788,0.132
Someone Who Believes In You,Air Supply,0.985,0.019,0.829,0.152
Speaking Of Love,Air Supply,0.9335,0.082,0.769,0.149
Spirit Of Love,Air Supply,0.9936,0.052,0.665,0.283
Stars In Your Eyes,Air Supply,0.9283,0.093,0.757,0.149
Stop The Tears,Air Supply,-0.9833,0.219,0.736,0.045
Strangers In Love,Air Supply,0.9906,0.0,0.703,0.297
Strong Strong Wind,Air Supply,0.9985,0.019,0.698,0.283
Stronger Than The Night,Air Supply,0.85,0.115,0.726,0.16
Sunset,Air Supply,0.9822,0.069,0.706,0.225
Swear To Your Heart,Air Supply,0.983,0.124,0.731,0.145
Sweet Dreams,Air Supply,0.9924,0.022,0.72,0.257
Taking The Chance,Air Supply,0.954,0.09,0.708,0.202
The First Noel,Air Supply,0.93,0.021,0.863,0.116
Tonite,Air Supply,0.9937,0.06,0.681,0.259
Too Sentimental,Air Supply,0.9861,0.045,0.736,0.22
Total Eclipse Of The Heart,Air Supply,0.9963,0.053,0.797,0.15
We The People,Air Supply,0.9412,0.053,0.825,0.122
Winter Wonderland,Air Supply,0.899,0.044,0.855,0.101
Fool Til The End,Aiza Seguerra,0.8541,0.086,0.793,0.121
Friend Of Mine,Aiza Seguerra,0.9952,0.101,0.623,0.276
Huwag Mong Iwan Ang Puso,Aiza Seguerra,-0.2023,0.041,0.959,0.0
I See You Lord,Aiza Seguerra,0.9981,0.056,0.574,0.37
If,Aiza Seguerra,-0.0387,0.053,0.902,0.044
If We Try,Aiza Seguerra,0.9525,0.039,0.86,0.101
Ikaw Ang Aking Mahal,Aiza Seguerra,0.0,0.0,1.0,0.0
Ikaw Na Ang Bahala: Panalangin,Aiza Seguerra,0.0,0.0,1.0,0.0
Laughter In The Rain,Aiza Seguerra,0.9991,0.021,0.552,0.426
Open Arms,Aiza Seguerra,0.4174,0.049,0.863,0.088
Pakisabi Na Lang,Aiza Seguerra,-0.5106,0.026,0.974,0.0
Put A Little Love In Your Heart,Aiza Seguerra,0.999,0.008,0.645,0.346
Sa Huli Ang Sikat,Aiza Seguerra,0.0,0.0,1.0,0.0
Sa Ugoy Ng Duyan,Aiza Seguerra,0.0,0.0,1.0,0.0
Sorry,Aiza Seguerra,-0.9957,0.34,0.551,0.109
Calling All Angels,Alabama,0.7421,0.082,0.818,0.1
Can't Keep A Good Man Down,Alabama,-0.9855,0.157,0.797,0.046
Carolina Mountain Dew,Alabama,0.9477,0.044,0.824,0.132
Christmas In Dixie,Alabama,0.969,0.013,0.801,0.186
Christmas In Your Arms,Alabama,0.9758,0.081,0.719,0.2
Christmas Is Love,Alabama,0.9986,0.0,0.559,0.441
Christmas Shoes,Alabama,0.9922,0.048,0.795,0.158
Church In The Wildwood,Alabama,0.9828,0.056,0.778,0.167
Clear Across America Tonight,Alabama,0.9957,0.023,0.713,0.264
Clear Water Blues,Alabama,0.8803,0.105,0.695,0.2
Close Enough To Perfect,Alabama,0.9975,0.038,0.657,0.305
Country Side Of Life,Alabama,0.9191,0.013,0.93,0.057
"Dancin', Shaggin' On The Boulevard",Alabama,0.9793,0.0,0.887,0.113
Dixie Boy,Alabama,0.9934,0.01,0.818,0.171
Dixie Fire,Alabama,-0.8831,0.106,0.832,0.062
Dixieland Delight,Alabama,0.9895,0.017,0.789,0.194
Down By The Riverside,Alabama,0.9855,0.162,0.601,0.236
Down Home,Alabama,0.2201,0.084,0.828,0.089
Down On Longboat Key,Alabama,0.9705,0.012,0.898,0.089
Down On The River,Alabama,0.8591,0.021,0.894,0.084
Down This Road,Alabama,0.8658,0.031,0.886,0.083
Fallin' Again,Alabama,0.9723,0.031,0.803,0.166
Fantasy,Alabama,0.9872,0.0,0.714,0.286
Feels So Right,Alabama,0.9864,0.038,0.712,0.251
Fire On Fire,Alabama,-0.9922,0.25,0.675,0.076
Fireworks,Alabama,0.9519,0.034,0.88,0.087
Five O'clock 500,Alabama,0.1531,0.01,0.973,0.016
Food On The Table,Alabama,0.97,0.007,0.863,0.13
Forever's As Far As I'll Go,Alabama,0.9948,0.012,0.692,0.296
Getting Over You,Alabama,0.7036,0.078,0.798,0.124
Give Me One More Shot,Alabama,0.9904,0.049,0.757,0.195
God Must Have Spent A Little More Time On You,Alabama,0.9939,0.077,0.683,0.239
Gonna Have A Party,Alabama,0.9858,0.0,0.75,0.25
Goodbye,Alabama,0.994,0.08,0.618,0.302
Green River,Alabama,0.6597,0.029,0.881,0.09
Gulf Of Mexico,Alabama,0.2263,0.0,0.979,0.021
Hangin' Round The Mistletoe,Alabama,0.9935,0.0,0.751,0.249
Hanging Up My Travelin' Shoes,Alabama,-0.5346,0.052,0.925,0.023
Happy Birthday Jesus,Alabama,0.96,0.052,0.761,0.188
Happy Holidays,Alabama,0.9962,0.0,0.661,0.339
Hats Off,Alabama,-0.872,0.162,0.726,0.112
Heartbreak Express,Alabama,-0.9961,0.282,0.611,0.107
Here We Are,Alabama,0.9814,0.0,0.841,0.159
Hey Baby,Alabama,0.8279,0.0,0.94,0.06
High Cotton,Alabama,0.8983,0.019,0.906,0.075
His Eye Is On The Sparrow,Alabama,0.9159,0.069,0.799,0.132
Hollywood,Alabama,-0.3466,0.06,0.882,0.058
I Ain't Got No Business Doin',Alabama,0.9918,0.023,0.756,0.221
I Love You Enough To Let You Go,Alabama,0.9861,0.036,0.778,0.186
I Write A Little,Alabama,-0.304,0.151,0.694,0.155
If I Could Just See You Now,Alabama,0.9971,0.0,0.714,0.286
If I Had You,Alabama,0.9593,0.03,0.808,0.162
If It Ain't Dixie,Alabama,0.9981,0.01,0.686,0.304
If You're Gonna Play In Texas,Alabama,0.9777,0.0,0.835,0.165
I'm In A Hurry,Alabama,0.6939,0.057,0.846,0.097
I'm In A Hurry (And Don't Know Why),Alabama,-0.9601,0.161,0.729,0.11
I'm In That Kind Of Mood,Alabama,0.9904,0.0,0.856,0.144
I'm In The Mood,Alabama,0.9906,0.057,0.738,0.206
I'm Not That Way Anymore,Alabama,0.7615,0.062,0.837,0.101
I'm Still Dreamin',Alabama,0.9376,0.04,0.819,0.142
I'm Stoned,Alabama,-0.9359,0.189,0.757,0.054
Jukebox In My Mind,Alabama,0.8878,0.115,0.662,0.223
Katy Brought My Guitar Back Today,Alabama,0.8974,0.059,0.825,0.115
Lady Down On Love,Alabama,0.9956,0.033,0.723,0.245
Little Things,Alabama,0.9231,0.039,0.872,0.09
Lonesome Valley,Alabama,-0.6705,0.07,0.88,0.049
Love In The First Degree,Alabama,0.9839,0.099,0.677,0.224
Lovin' Man,Alabama,0.9719,0.011,0.848,0.141
Once Upon A Lifetime,Alabama,0.9295,0.137,0.678,0.186
Pass It On Down,Alabama,0.4781,0.081,0.846,0.073
Precious Memories,Alabama,0.9915,0.015,0.723,0.262
Reckless,Alabama,0.9652,0.11,0.739,0.152
She Can,Alabama,0.9291,0.115,0.724,0.161
Small Stuff,Alabama,0.9961,0.046,0.731,0.223
Tar Top,Alabama,0.9469,0.031,0.863,0.106
Tennessee River,Alabama,0.9607,0.0,0.803,0.197
